dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,delay,0.05,2034,15,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2035,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.1,2026,15,0.2,0.4,0.8,0.52,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2027,15,0.2,0.4666666666666667,0.9333333333333333,0.5866666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2028,15,0.2,0.5333333333333333,0.9333333333333333,0.5866666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2029,15,0.2,0.5333333333333333,0.9333333333333333,0.5866666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2030,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2031,15,0.2,0.5333333333333333,0.8666666666666667,0.5733333333333334,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2032,15,0.2,0.4666666666666667,0.8666666666666667,0.5466666666666666,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2033,15,0.2,0.4,0.8,0.5066666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2034,15,0.2,0.4666666666666667,0.8666666666666667,0.5466666666666667,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.1,2035,15,0.2,0.4,1.0,0.5733333333333334,0.4315764787233745,0.9000099911545482
RE2-OB,delay,0.15,2026,15,0.2,0.6,0.9333333333333333,0.6,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2027,15,0.2,0.4,0.7333333333333333,0.49333333333333335,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2028,15,0.2,0.4666666666666667,0.8666666666666667,0.56,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2029,15,0.2,0.4666666666666667,1.0,0.5866666666666667,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2030,15,0.2,0.4,0.9333333333333333,0.5333333333333333,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2031,15,0.2,0.4,0.9333333333333333,0.56,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2032,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2033,15,0.2,0.4666666666666667,0.8,0.52,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2034,15,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.15,2035,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.40759274812772694,0.8499938182995599
RE2-OB,delay,0.2,2026,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2027,15,0.2,0.4,0.9333333333333333,0.5733333333333334,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2028,15,0.2,0.5333333333333333,1.0,0.5866666666666667,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2029,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2030,15,0.2,0.5333333333333333,0.8666666666666667,0.5733333333333334,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2031,15,0.2,0.4,0.8666666666666667,0.5466666666666667,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2032,15,0.2,0.4666666666666667,0.9333333333333333,0.5866666666666667,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2033,15,0.2,0.4,0.9333333333333333,0.56,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2034,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.2,2035,15,0.2,0.5333333333333333,0.9333333333333333,0.5866666666666667,0.3836203561929141,0.800001993010912
RE2-OB,delay,0.25,2026,15,0.2,0.5333333333333333,1.0,0.6,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2027,15,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2028,15,0.2,0.5333333333333333,0.8666666666666667,0.5733333333333334,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2029,15,0.2,0.4,1.0,0.56,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2030,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2031,15,0.2,0.4,0.8,0.5066666666666667,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2032,15,0.2,0.5333333333333333,0.9333333333333333,0.5866666666666667,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2033,15,0.2,0.4,1.0,0.5466666666666667,0.35964223133230416,0.7499977109071058
RE2-OB,delay,0.25,2034,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.35964223133230416,0.7499977109071058
